folder,offset_file,original_file,comparison_type,device,true_offset,config,bins,method,estimated_offset,error,abs_error,rel_error,same_instrument,processing_time
A,drums_offset_264ms_with_Action_Camera_-_Microphone.wav,master.wav,master,Action_Camera_-_Microphone,264.0,default,84,FingerprintRecognizer,0.0,-264.0,264.0,100.0,False,49.63
A,drums_offset_264ms_with_Action_Camera_-_Microphone.wav,master.wav,master,Action_Camera_-_Microphone,264.0,default,84,CorrelationRecognizer,0.0,-264.0,264.0,100.0,False,9.25
A,drums_offset_264ms_with_Action_Camera_-_Microphone.wav,master.wav,master,Action_Camera_-_Microphone,264.0,default,84,CorrelationSpectrogramRecognizer,0.0,-264.0,264.0,100.0,False,13.12
A,drums_offset_264ms_with_Action_Camera_-_Microphone.wav,master.wav,master,Action_Camera_-_Microphone,264.0,higher_res,96,FingerprintRecognizer,0.0,-264.0,264.0,100.0,False,52.52
A,drums_offset_264ms_with_Action_Camera_-_Microphone.wav,master.wav,master,Action_Camera_-_Microphone,264.0,higher_res,96,CorrelationRecognizer,0.0,-264.0,264.0,100.0,False,10.11
A,drums_offset_264ms_with_Action_Camera_-_Microphone.wav,master.wav,master,Action_Camera_-_Microphone,264.0,higher_res,96,CorrelationSpectrogramRecognizer,0.0,-264.0,264.0,100.0,False,13.17
A,drums_offset_264ms_with_Action_Camera_-_Microphone.wav,master.wav,master,Action_Camera_-_Microphone,264.0,lower_res,48,FingerprintRecognizer,0.0,-264.0,264.0,100.0,False,49.96
A,drums_offset_264ms_with_Action_Camera_-_Microphone.wav,master.wav,master,Action_Camera_-_Microphone,264.0,lower_res,48,CorrelationRecognizer,0.0,-264.0,264.0,100.0,False,10.08
A,drums_offset_264ms_with_Action_Camera_-_Microphone.wav,master.wav,master,Action_Camera_-_Microphone,264.0,lower_res,48,CorrelationSpectrogramRecognizer,0.0,-264.0,264.0,100.0,False,13.35
A,drums_offset_264ms_with_Action_Camera_-_Microphone.wav,drums.wav,original,Action_Camera_-_Microphone,264.0,default,84,FingerprintRecognizer,0.0,-264.0,264.0,100.0,True,43.47
A,drums_offset_264ms_with_Action_Camera_-_Microphone.wav,drums.wav,original,Action_Camera_-_Microphone,264.0,default,84,CorrelationRecognizer,0.0,-264.0,264.0,100.0,True,8.8
A,drums_offset_264ms_with_Action_Camera_-_Microphone.wav,drums.wav,original,Action_Camera_-_Microphone,264.0,default,84,CorrelationSpectrogramRecognizer,0.0,-264.0,264.0,100.0,True,13.91
A,drums_offset_264ms_with_Action_Camera_-_Microphone.wav,drums.wav,original,Action_Camera_-_Microphone,264.0,higher_res,96,FingerprintRecognizer,0.0,-264.0,264.0,100.0,True,43.19
A,drums_offset_264ms_with_Action_Camera_-_Microphone.wav,drums.wav,original,Action_Camera_-_Microphone,264.0,higher_res,96,CorrelationRecognizer,0.0,-264.0,264.0,100.0,True,10.48
